timestamp,traffic_load_mbps,latency_ms,packet_loss_pct,conn_success_rate,signal_strength_dbm,hour_of_day,day_of_week,is_weekend,date,traffic_load_mbps_anomaly,latency_ms_anomaly,packet_loss_pct_anomaly,conn_success_rate_anomaly,signal_strength_dbm_anomaly,anomaly_count,known_anomaly,ensemble_votes,ensemble_anomaly
2024-02-01 00:00:00,6.844620069029302,18.28814463374782,0.0157031939364552,99.37114456490347,-70.80178414985866,0,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 00:15:00,-6.0697792431966935,18.52225874564704,0.0705396591571775,99.35284912042356,-72.69640338540611,0,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 00:30:00,-0.6243960982664583,19.894252333894617,0.0179791522930659,99.479558468137,-71.96598952751513,0,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 00:45:00,-1.2052898716443543,16.62470709640283,0.1405203923474211,99.39011823368968,-69.17403749516933,0,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 01:00:00,3.2782518955599427,23.2813524071662,0.0380259248895622,99.43954311155186,-69.9358629816026,1,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 01:15:00,-8.677894919636087,17.81336604035927,0.0116745339982694,99.58271112648052,-69.90379370359975,1,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 01:30:00,-3.498166550778239,19.432454665989795,0.0219201851916933,99.50155302919458,-66.51757013691403,1,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 01:45:00,4.568888258173553,23.56204693698932,0.110583641333565,99.38640506521436,-73.34455582634126,1,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 02:00:00,10.629305832304642,20.687934584912597,0.0325517935037706,99.2082778913597,-65.36435671302064,2,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 02:15:00,8.80297307214061,23.82137379253883,0.1096520079377843,99.3408683781311,-67.64345063889047,2,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 02:30:00,13.689868350726751,18.281384252322496,0.023561384854187,99.34335975406012,-70.65158600174841,2,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 02:45:00,13.394551514486064,22.638322895297456,0.0455944594763692,98.87315857119766,-69.21753442629765,2,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 03:00:00,21.0261088093932,24.62057794808118,0.1216010067100656,99.25825782760872,-71.36569016849343,3,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 03:15:00,24.46214698915746,19.9566107034786,0.0198194230302318,98.83342362883648,-69.36153358111491,3,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 03:30:00,15.759614113736498,21.040852634274437,0.0328680816886659,99.06699232732768,-65.70031320285513,3,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 03:45:00,26.639715047957644,22.190944750904023,0.1383068125410931,99.15541779427312,-71.29257641650406,3,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
2024-02-01 04:00:00,27.540597742335272,23.382977425682647,0.0636443814100991,99.21494699824429,-70.4640112164367,4,3,0,2024-02-01,False,False,False,False,False,0,False,0,1
